,Rides lost ,latitude,longitude
0,"82,106",,
1,"36,768",52.519,13.375
2,"36,253",52.399,13.047
3,"26,898",52.4,13.047
4,"22,613",52.518,13.375
5,"7,376",52.526,13.369
6,"3,942",52.474,13.456
7,"4,086",52.521,13.415
8,"3,902",52.557,13.373
9,"3,363",52.51,13.434
10,"3,563",52.527,13.371
11,"3,539",52.508,13.435
12,"3,479",52.517,13.38
13,"2,625",52.543,13.366
14,"2,929",52.548,13.389
15,"3,144",52.525,13.393
16,"2,950",52.429,13.453
17,"2,611",52.499,13.354
18,"2,588",52.48,13.312
19,"2,799",52.496,13.42
20,"2,414",52.504,13.468
21,"3,164",52.524,13.371
22,"2,130",52.439,13.388
23,"2,398",52.47,13.442
24,"3,302",52.516,13.376
25,"6,223",52.519,13.376
26,"2,834",52.52,13.41
27,"2,768",52.507,13.333
28,"1,737",52.486,13.356
29,"2,546",52.529,13.402
30,"2,232",52.55,13.414
31,"2,334",52.541,13.439
32,"2,621",52.504,13.442
33,"2,349",52.469,13.442
34,"2,311",52.466,13.432
35,"1,995",52.497,13.29
36,"2,678",52.51,13.376
37,"2,194",52.467,13.432
38,"2,213",52.439,13.387
39,"1,719",52.51,13.306
40,"1,988",52.487,13.422
41,"2,163",52.506,13.333
42,"2,133",52.526,13.341
43,"2,393",52.523,13.416
44,"2,414",52.523,13.403
45,"2,146",52.541,13.412
46,"1,786",52.482,13.433
47,"2,094",52.546,13.359
48,"2,128",52.525,13.404
49,"1,937",52.567,13.411
50,"1,980",52.55,13.387
51,"2,525",52.596,13.337
52,"1,940",52.506,13.307
53,"1,831",52.475,13.367
54,"2,336",52.503,13.447
55,"1,907",52.492,13.371
56,"2,199",52.519,13.401
57,"2,050",52.563,13.327
58,"1,791",52.545,13.427
59,"1,995",52.468,13.431
60,"1,922",52.514,13.336
61,"4,218",52.497,13.41
62,"1,723",52.5,13.307
63,"1,957",52.558,13.373
64,"2,266",52.493,13.459
65,"1,926",52.506,13.332
66,"1,795",52.499,13.428
67,"1,814",52.482,13.434
68,"1,504",52.528,13.409
69,"1,702",52.508,13.391
70,"1,505",52.465,13.328
71,"1,681",52.493,13.371
72,"1,629",52.486,13.361
73,"2,079",52.416,13.496
74,"2,135",52.516,13.381
75,"1,429",52.529,13.417
76,"1,793",52.487,13.424
77,"1,818",52.572,13.38
78,"1,757",52.489,13.408
79,"3,805",52.399,13.048
80,"2,103",52.509,13.424
81,"2,035",52.524,13.401
